Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
25/05/2026,100195,pix100195,AF - EMANUEL SOUZA,0,"202,7",0," R$  202,70 ","0,00%","100,00%","0,00%",MTT,"662,85"
25/05/2026,100203,ReidoFlip,AF - EMANUEL SOUZA,"62,38","182,9","10,95"," R$  256,23 ","24,35%","71,38%","4,27%",MTT,"286,75"
25/05/2026,159633,TudodoJorgitoo,AF - EMANUEL SOUZA,0,0,"2,93"," R$  2,93 ","0,00%","0,00%","100,00%",PLO6,"-25,55"
25/05/2026,100883,theblack,AF - BIGBLINDS,0,"20,6","58,74"," R$  79,34 ","0,00%","25,96%","74,04%",PLO6,"-217,97"
25/05/2026,195408,Queyrooz,AF - BIGBLINDS,0,"145,4",0," R$  145,40 ","0,00%","100,00%","0,00%",MTT,"-922,41"
25/05/2026,100434,pix100434,AF - BIGBLINDS,0,0,"142,77"," R$  142,77 ","0,00%","0,00%","100,00%",PLO6,"-935,52"
25/05/2026,117450,relógio quebrado,AF - BIGBLINDS,0,"184,6",0," R$  184,60 ","0,00%","100,00%","0,00%",MTT,"1100,96"
25/05/2026,146112,HAPPYFEET,AF - BIGBLINDS,0,"54,1",0," R$  54,10 ","0,00%","100,00%","0,00%",MTT,"1408,22"
25/05/2026,149326,Coca-Cola Zero,AF - BIGBLINDS,0,62,0," R$  62,00 ","0,00%","100,00%","0,00%",MTT,"155,71"
25/05/2026,100780,LIGHT,AF - BIGBLINDS,0,27,0," R$  27,00 ","0,00%","100,00%","0,00%",MTT,"-39,18"
25/05/2026,100939,Watchmen,AF - BIGBLINDS,0,40,0," R$  40,00 ","0,00%","100,00%","0,00%",MTT,"-377,5"
25/05/2026,154909,MilhoVerde,AF - BIGBLINDS,0,81,0," R$  81,00 ","0,00%","100,00%","0,00%",MTT,-765
25/05/2026,100386,lavagemdedinheiro,AF - BIGBLINDS,0,0,"12,58"," R$  12,58 ","0,00%","0,00%","100,00%",PLO6,"-149,39"
25/05/2026,100699,Bencbedge,AF - BIGBLINDS,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,-30
