s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,100234,Pacauu,PIXPOKER,0,"99,1",0," R$  99,10 ","0,00%","100,00%","0,00%",MTT,-14
23/02/2026,105070,Lukspoki,PIXPOKER,"4,49","17,4",0," R$  21,89 ","20,51%","79,49%","0,00%",MTT,-234
23/02/2026,108133,M10CABRERA,PIXPOKER,"22,75",34,0," R$  56,75 ","40,09%","59,91%","0,00%",MTT,-437
23/02/2026,131761,Limpaibestao,PIXPOKER,0,15,0," R$  15,00 ","0,00%","100,00%","0,00%",MTT,-133
23/02/2026,145086,Dani,PIXPOKER,0,"21,3","118,97"," R$  140,27 ","0,00%","15,19%","84,81%",PLO6,-221
23/02/2026,153384,NUTS,PIXPOKER,"1,71",24,"27,15"," R$  52,86 ","3,23%","45,40%","51,36%",PLO6,-528
23/02/2026,154531,allinsemolhar,PIXPOKER,0,"242,1","106,7"," R$  348,80 ","0,00%","69,41%","30,59%",MTT,1.008
23/02/2026,165730,kara de Xibata,PIXPOKER,"77,35","309,9",0," R$  387,25 ","19,97%","80,03%","0,00%",MTT,-1.082
23/02/2026,171835,TheRock99,PIXPOKER,"31,41","28,95",0," R$  60,36 ","52,04%","47,96%","0,00%",NLH,-120
23/02/2026,118027,EUROFARMA,PIXPOKER,0,0,"280,07"," R$  280,07 ","0,00%","0,00%","100,00%",PLO6,1.284
23/02/2026,149545,pix149545,PIXPOKER,0,9,"520,63"," R$  529,63 ","0,00%","1,70%","98,30%",PLO6,582
23/02/2026,155550,aceitaumcha,PIXPOKER,0,0,"748,77"," R$  748,77 ","0,00%","0,00%","100,00%",PLO6,-1.205
23/02/2026,156606,papacapim?,PIXPOKER,"0,76","14,4","590,58"," R$  605,74 ","0,13%","2,38%","97,50%",PLO6,-300
23/02/2026,185992,davizin,PIXPOKER,"19,17",0,"475,53"," R$  494,70 ","3,88%","0,00%","96,12%",PLO6,-382
23/02/2026,188295,pagadordebluff,PIXPOKER,0,0,"371,47"," R$  371,47 ","0,00%","0,00%","100,00%",PLO6,-130
23/02/2026,193434,pix193434,PIXPOKER,0,0,"3081,22"," R$  3.081,22 ","0,00%","0,00%","100,00%",PLO6,-11.263
23/02/2026,108030,Pitbull Enraivado,PIXPOKER,"5,17","13,6",227," R$  245,77 ","2,10%","5,53%","92,36%",PLO6,-490
23/02/2026,151375,Jamal,PIXPOKER,"3,42",0,"201,48"," R$  204,90 ","1,67%","0,00%","98,33%",PLO6,-517
23/02/2026,162897,Totó ?,PIXPOKER,"56,23",0,"71,4"," R$  127,63 ","44,06%","0,00%","55,94%",PLO6,-15
23/02/2026,167950,pix167950,PIXPOKER,0,0,"268,72"," R$  268,72 ","0,00%","0,00%","100,00%",PLO6,135
23/02/2026,193531,pix193531,PIXPOKER,0,7,"30,9"," R$  37,90 ","0,00%","18,47%","81,53%",PLO6,-443
23/02/2026,120746,toctoc,PIXPOKER,0,"0,8","24,01"," R$  24,81 ","0,00%","3,22%","96,78%",PLO6,198
23/02/2026,155033,zachs49,PIXPOKER,0,"3,2","1,49"," R$  4,69 ","0,00%","68,23%","31,77%",MTT,-47
