Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
02/03/2026,100624,Reybingo,AF - DAYVISSOM,0,"221,1",0," R$  221,10 ","0,00%","100,00%","0,00%",MTT,1.482
02/03/2026,170065,MacielBet,AF - DAYVISSOM,0,"11,5","86,41"," R$  97,91 ","0,00%","11,75%","88,25%",PLO6,-543
02/03/2026,183209,pix183209,AF - DAYVISSOM,0,"1,6","309,42"," R$  311,02 ","0,00%","0,51%","99,49%",PLO6,-538
02/03/2026,100435,pix100435,AF - DAYVISSOM,0,0,"134,09"," R$  134,09 ","0,00%","0,00%","100,00%",PLO6,-417
02/03/2026,100508,luizinhodoido,AF - DAYVISSOM,0,0,"52,46"," R$  52,46 ","0,00%","0,00%","100,00%",PLO6,-166
02/03/2026,102486,IaninhAA,AF - DAYVISSOM,0,"13,3","76,84"," R$  90,14 ","0,00%","14,75%","85,25%",PLO6,-208
02/03/2026,100896,Manjuba,AF - DAYVISSOM,"240,18",0,"37,79"," R$  277,97 ","86,41%","0,00%","13,59%",NLH,-450
02/03/2026,165655,pix165655,AF - DAYVISSOM,"20,59",0,"34,51"," R$  55,10 ","37,37%","0,00%","62,63%",PLO6,-51
02/03/2026,151434,J H P,AF - DAYVISSOM,0,0,"7,82"," R$  7,82 ","0,00%","0,00%","100,00%",PLO6,126
02/03/2026,104604,cleyton,AF - DAYVISSOM,"10,62",0,"1,29"," R$  11,91 ","89,17%","0,00%","10,83%",NLH,-66
02/03/2026,101731,pah de que,AF - DAYVISSOM,"8,13","38,4","5,66"," R$  52,19 ","15,58%","73,58%","10,84%",MTT,135
02/03/2026,100660,ignite pineapple,PIXPOKER,0,"70,5","685,98"," R$  756,48 ","0,00%","9,32%","90,68%",PLO6,631
02/03/2026,128455,Chuck Norris,PIXPOKER,"0,48","14,36","3,85"," R$  18,69 ","2,57%","76,83%","20,60%",MTT,-103
02/03/2026,130831,SnAAcK,PIXPOKER,0,13,"0,95"," R$  13,95 ","0,00%","93,19%","6,81%",MTT,-179
02/03/2026,145103,shazan,PIXPOKER,0,"38,6",0," R$  38,60 ","0,00%","100,00%","0,00%",MTT,-29
02/03/2026,150634,Genivaldo,PIXPOKER,"36,82","17,56",0," R$  54,38 ","67,71%","32,29%","0,00%",NLH,-108
02/03/2026,165730,kara de Xibata,PIXPOKER,"17,4","153,7",0," R$  171,10 ","10,17%","89,83%","0,00%",MTT,-1.504
02/03/2026,171835,TheRock99,PIXPOKER,"13,8","27,25",0," R$  41,05 ","33,62%","66,38%","0,00%",MTT,-109
02/03/2026,100346,DeinhAA,PIXPOKER,0,0,"39,25"," R$  39,25 ","0,00%","0,00%","100,00%",PLO6,-165
02/03/2026,101280,el sova do valorant,PIXPOKER,"69,76","13,5","135,43"," R$  218,69 ","31,90%","6,17%","61,93%",PLO6,-521
02/03/2026,107109,pix107109,PIXPOKER,"12,78",0,"717,58"," R$  730,36 ","1,75%","0,00%","98,25%",PLO6,-186
02/03/2026,127815,spmgirl,PIXPOKER,0,0,"6,1"," R$  6,10 ","0,00%","0,00%","100,00%",PLO6,-75
02/03/2026,133097,URACAN,PIXPOKER,"4,92",0,"128,21"," R$  133,13 ","3,70%","0,00%","96,30%",PLO6,-396
02/03/2026,138160,Chicão 01,PIXPOKER,0,"0,5","818,1"," R$  818,60 ","0,00%","0,06%","99,94%",PLO6,2.168
02/03/2026,149021,ANTONOW,PIXPOKER,0,0,"22,54"," R$  22,54 ","0,00%","0,00%","100,00%",PLO6,-203
02/03/2026,154738,destruidor,PIXPOKER,0,0,"257,21"," R$  257,21 ","0,00%","0,00%","100,00%",PLO6,-448
02/03/2026,155550,aceitaumcha,PIXPOKER,0,0,"3106,84"," R$  3.106,84 ","0,00%","0,00%","100,00%",PLO6,1.108
02/03/2026,155671,JJ 1940 JJ,PIXPOKER,0,0,"307,11"," R$  307,11 ","0,00%","0,00%","100,00%",PLO6,1.319
