Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,,,,,
09/03/2026,100234,Pacauu,PIXPOKER,0,"151,2",0," R$  151,20 ","0,00%","100,00%","0,00%",100234,MTT,,,Colar os Dados
09/03/2026,130831,SnAAcK,PIXPOKER,0,"41,4",0," R$  41,40 ","0,00%","100,00%","0,00%",130831,MTT,,,Limpar Jotinha
09/03/2026,156622,alvaromontoro,PIXPOKER,"12,31","35,2",0," R$  47,51 ","25,91%","74,09%","0,00%",156622,MTT,,,Roda o HIghticket
09/03/2026,157461,Hellen_?,PIXPOKER,"5,36","13,32",0," R$  18,68 ","28,69%","71,31%","0,00%",157461,MTT,,,Rodar Fixar dados
09/03/2026,161763,Reddy80,PIXPOKER,0,"100,4",0," R$  100,40 ","0,00%","100,00%","0,00%",161763,MTT,,,Roda Inatividade
09/03/2026,136607,NiKa,PIXPOKER,"29,37","8,6",0," R$  37,97 ","77,35%","22,65%","0,00%",136607,NLH,,,Limpar Dados
09/03/2026,145086,Dani,PIXPOKER,0,127,0," R$  127,00 ","0,00%","100,00%","0,00%",145086,MTT,,,
09/03/2026,158694,wender_AA,PIXPOKER,"4,02","7,2",0," R$  11,22 ","35,83%","64,17%","0,00%",158694,MTT,,,
09/03/2026,193709,Zebranoo,PIXPOKER,0,"65,5","373,77"," R$  439,27 ","0,00%","14,91%","85,09%",193709,PLO6,,,
09/03/2026,101280,el sova do valorant,PIXPOKER,"10,29","8,5","134,16"," R$  152,95 ","6,73%","5,56%","87,71%",101280,PLO6,,,
09/03/2026,112136,VML$??,PIXPOKER,"127,87","16,6","584,44"," R$  728,91 ","17,54%","2,28%","80,18%",112136,PLO6,,,
09/03/2026,131387,JoaoCbmpa,PIXPOKER,"152,66","63,4",0," R$  216,06 ","70,66%","29,34%","0,00%",131387,NLH,,,
09/03/2026,154993,Ethan hunt,PIXPOKER,"193,83",0,0," R$  193,83 ","100,00%","0,00%","0,00%",154993,NLH,,,
09/03/2026,155671,JJ1710,PIXPOKER,"3,28",0,"274,73"," R$  278,01 ","1,18%","0,00%","98,82%",155671,PLO6,,,
09/03/2026,159020,Zlatan11,PIXPOKER,0,0,"47,9"," R$  47,90 ","0,00%","0,00%","100,00%",159020,PLO6,,,
09/03/2026,160319,cremobinn,PIXPOKER,"67,45","24,75","98,31"," R$  190,51 ","35,40%","12,99%","51,60%",160319,PLO6,,,
09/03/2026,165419,pix165419,PIXPOKER,"62,03","0,5","181,43"," R$  243,96 ","25,43%","0,20%","74,37%",165419,PLO6,,,
09/03/2026,144386,pix144386,PIXPOKER,0,0,"225,37"," R$  225,37 ","0,00%","0,00%","100,00%",144386,PLO6,,,
09/03/2026,187362,Higor00,PIXPOKER,"182,52","47,6","0,96"," R$  231,08 ","78,99%","20,60%","0,42%",187362,NLH,,,
09/03/2026,192836,guizin777,PIXPOKER,0,"1,4","27,2"," R$  28,60 ","0,00%","4,90%","95,10%",192836,PLO6,,,
09/03/2026,159587,OMitoVoltou,PIXPOKER,0,0,"3619,93"," R$  3.619,93 ","0,00%","0,00%","100,00%",159587,PLO6,,,
09/03/2026,158586,junebass,PIXPOKER,0,"144,7",0," R$  144,70 ","0,00%","100,00%","0,00%",158586,MTT,,,
09/03/2026,108030,Pitbull Enraivado,PIXPOKER,"3,52","24,3","167,09"," R$  194,91 ","1,81%","12,47%","85,73%",108030,PLO6,,,
09/03/2026,100660,ignite pineapple,PIXPOKER,0,79,"857,81"," R$  936,81 ","0,00%","8,43%","91,57%",100660,PLO6,,,
09/03/2026,135262,F3lp1s,PIXPOKER,0,0,"51,32"," R$  51,32 ","0,00%","0,00%","100,00%",135262,PLO6,,,
09/03/2026,138160,Chicão 01,PIXPOKER,"5,96",0,"663,71"," R$  669,67 ","0,89%","0,00%","99,11%",138160,PLO6,,,
09/03/2026,145184,J.D.A.F.,PIXPOKER,"0,86","59,91","3,4"," R$  64,17 ","1,34%","93,36%","5,30%",145184,MTT,,,
09/03/2026,188354,#descubra,PIXPOKER,"95,47","0,3",0," R$  95,77 ","99,69%","0,31%","0,00%",188354,NLH,,,
09/03/2026,100221,El Magron,PIXPOKER,0,"0,5",0," R$  0,50 ","0,00%","100,00%","0,00%",100221,MTT,,,
09/03/2026,100323,Foresths,PIXPOKER,0,0,0, R$  -   ,,,,100323,NLH,,,
09/03/2026,100576,Vitornspb,PIXPOKER,"0,56",0,"5,18"," R$  5,74 ","9,76%","0,00%","90,24%",100576,PLO6,,,
09/03/2026,101186,pix101186,PIXPOKER,0,0,0, R$  -   ,,,,101186,NLH,,,
09/03/2026,101191,lipelmaciel,PIXPOKER,0,"0,3",0," R$  0,30 ","0,00%","100,00%","0,00%",101191,MTT,,,
09/03/2026,129186,ANTI PT,PIXPOKER,"0,12","0,1",0," R$  0,22 ","54,55%","45,45%","0,00%",129186,NLH,,,
09/03/2026,133158,pix133158,PIXPOKER,0,0,"96,04"," R$  96,04 ","0,00%","0,00%","100,00%",133158,PLO6,,,
09/03/2026,140055,jr oião motos,PIXPOKER,0,"0,8",0," R$  0,80 ","0,00%","100,00%","0,00%",140055,MTT,,,
09/03/2026,148445,gil pm,PIXPOKER,0,"3,95","7,45"," R$  11,40 ","0,00%","34,65%","65,35%",148445,PLO6,,,
09/03/2026,150113,chica da silva??,PIXPOKER,0,0,"10,6"," R$  10,60 ","0,00%","0,00%","100,00%",150113,PLO6,,,
09/03/2026,159057,MatosPoker,PIXPOKER,0,0,0, R$  -   ,,,,159057,NLH,,,
09/03/2026,170618,levy do maranguape,PIXPOKER,"1,85",0,"351,19"," R$  353,04 ","0,52%","0,00%","99,48%",170618,PLO6,,,
09/03/2026,100384,AAgoniado,PIXPOKER,0,0,"297,71"," R$  297,71 ","0,00%","0,00%","100,00%",100384,PLO6,,,
09/03/2026,102042,MatheusCarvalho,PIXPOKER,0,"20,5","49,56"," R$  70,06 ","0,00%","29,26%","70,74%",102042,PLO6,,,
09/03/2026,107109,pix107109,PIXPOKER,"6,29",0,"976,87"," R$  983,16 ","0,64%","0,00%","99,36%",107109,PLO6,,,
09/03/2026,109887,cucuriti,PIXPOKER,"13,05","0,5","201,89"," R$  215,44 ","6,06%","0,23%","93,71%",109887,PLO6,,,
09/03/2026,111233,khhk,PIXPOKER,0,3,"750,76"," R$  753,76 ","0,00%","0,40%","99,60%",111233,PLO6,,,
09/03/2026,118027,EUROFARMA,PIXPOKER,0,0,"1231,22"," R$  1.231,22 ","0,00%","0,00%","100,00%",118027,PLO6,,,
09/03/2026,122669,caçapix,PIXPOKER,0,"40,15","83,62"," R$  123,77 ","0,00%","32,44%","67,56%",122669,PLO6,,,
09/03/2026,132763,129131,PIXPOKER,0,0,"198,41"," R$  198,41 ","0,00%","0,00%","100,00%",132763,PLO6,,,
09/03/2026,135395,Mandachuva,PIXPOKER,0,0,"280,61"," R$  280,61 ","0,00%","0,00%","100,00%",135395,PLO6,,,
09/03/2026,145959,??????,PIXPOKER,"12,33",0,"1457,02"," R$  1.469,35 ","0,84%","0,00%","99,16%",145959,PLO6,,,
09/03/2026,147799,sabonete22,PIXPOKER,0,0,"778,54"," R$  778,54 ","0,00%","0,00%","100,00%",147799,PLO6,,,
09/03/2026,149021,ANTONOW,PIXPOKER,0,0,"305,77"," R$  305,77 ","0,00%","0,00%","100,00%",149021,PLO6,,,
09/03/2026,149545,pix149545,PIXPOKER,0,"37,5","851,71"," R$  889,21 ","0,00%","4,22%","95,78%",149545,PLO6,,,
09/03/2026,151375,Jamal,PIXPOKER,"1,78","2,3","170,72"," R$  174,80 ","1,02%","1,32%","97,67%",151375,PLO6,,,
09/03/2026,153018,183549022,PIXPOKER,0,0,"84,73"," R$  84,73 ","0,00%","0,00%","100,00%",153018,PLO6,,,
09/03/2026,155550,aceitaumcha,PIXPOKER,0,2,"1345,98"," R$  1.347,98 ","0,00%","0,15%","99,85%",155550,PLO6,,,
09/03/2026,157192,kakaziinho,PIXPOKER,0,0,"704,48"," R$  704,48 ","0,00%","0,00%","100,00%",157192,PLO6,,,
09/03/2026,170570,cuidaa,PIXPOKER,"5,51","1,8","131,75"," R$  139,06 ","3,96%","1,29%","94,74%",170570,PLO6,,,
09/03/2026,182112,Davidmar,PIXPOKER,0,0,"680,58"," R$  680,58 ","0,00%","0,00%","100,00%",182112,PLO6,,,
09/03/2026,183808,gagau,PIXPOKER,0,0,"1485,18"," R$  1.485,18 ","0,00%","0,00%","100,00%",183808,PLO6,,,
09/03/2026,191446,Rochedo,PIXPOKER,0,0,"10,01"," R$  10,01 ","0,00%","0,00%","100,00%",191446,PLO6,,,
09/03/2026,193519,MOUNJARO,PIXPOKER,0,0,"253,44"," R$  253,44 ","0,00%","0,00%","100,00%",193519,PLO6,,,
09/03/2026,105853,toblefando,PIXPOKER,0,0,"75,94"," R$  75,94 ","0,00%","0,00%","100,00%",105853,PLO6,,,
09/03/2026,116975,bora bora,PIXPOKER,0,0,"3349,05"," R$  3.349,05 ","0,00%","0,00%","100,00%",116975,PLO6,,,
09/03/2026,121506,Big big mecky,PIXPOKER,0,0,"213,53"," R$  213,53 ","0,00%","0,00%","100,00%",121506,PLO6,,,
09/03/2026,129292,kinho$?,PIXPOKER,0,"4,2","14,04"," R$  18,24 ","0,00%","23,03%","76,97%",129292,PLO6,,,
