Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
04/05/2026,100234,Pacauu,PIXPOKER,0,"96,1",0," R$  96,10 ","0,00%","100,00%","0,00%",MTT,"12,98"
04/05/2026,102244,babayaga_,PIXPOKER,"0,05","3,7","2,76"," R$  6,51 ","0,77%","56,84%","42,40%",MTT,"-47,91"
04/05/2026,112641,tatuipoker,PIXPOKER,0,"39,99",0," R$  39,99 ","0,00%","100,00%","0,00%",MTT,"-204,96"
04/05/2026,130831,SnAAcK,PIXPOKER,0,"45,4","13,21"," R$  58,61 ","0,00%","77,46%","22,54%",MTT,"-585,63"
04/05/2026,133756,Marinho 54,PIXPOKER,0,"38,74",0," R$  38,74 ","0,00%","100,00%","0,00%",MTT,"-192,14"
04/05/2026,146768,Tonon,PIXPOKER,0,"13,9",0," R$  13,90 ","0,00%","100,00%","0,00%",MTT,-49
04/05/2026,150826,thpericlesbjj,PIXPOKER,0,"16,6",0," R$  16,60 ","0,00%","100,00%","0,00%",MTT,-16
04/05/2026,155001,pix155001,PIXPOKER,0,"181,39",0," R$  181,39 ","0,00%","100,00%","0,00%",MTT,"-355,59"
04/05/2026,155081,Bradesco $@,PIXPOKER,"70,37","23,1","70,28"," R$  163,75 ","42,97%","14,11%","42,92%",NLH,"280,49"
04/05/2026,158093,Diegote86,PIXPOKER,"36,87","15,2","6,93"," R$  59,00 ","62,49%","25,76%","11,75%",NLH,"106,69"
04/05/2026,171835,TheRock99,PIXPOKER,"11,99","22,52",0," R$  34,51 ","34,74%","65,26%","0,00%",MTT,"151,14"
04/05/2026,171981,FIGUEIIREDO,PIXPOKER,0,"1,4","16,78"," R$  18,18 ","0,00%","7,70%","92,30%",PLO6,"-176,75"
04/05/2026,173235,Estrutura,PIXPOKER,0,"181,1","175,86"," R$  356,96 ","0,00%","50,73%","49,27%",MTT,"1281,99"
04/05/2026,189226,Italokeppe,PIXPOKER,0,"10,7",0," R$  10,70 ","0,00%","100,00%","0,00%",MTT,-107
04/05/2026,191416,Thomasl17,PIXPOKER,"6,89","19,3","2,78"," R$  28,97 ","23,78%","66,62%","9,60%",MTT,-42
04/05/2026,140135,lukinhas05,PIXPOKER,0,0,"466,78"," R$  466,78 ","0,00%","0,00%","100,00%",PLO6,"-1967,73"
04/05/2026,188115,RivaxL,PIXPOKER,0,10,"542,66"," R$  552,66 ","0,00%","1,81%","98,19%",PLO6,"-263,85"
04/05/2026,101534,sem perdão,PIXPOKER,"1,95","5,5","26,61"," R$  34,06 ","5,73%","16,15%","78,13%",PLO6,-300
04/05/2026,116975,bora bora,PIXPOKER,0,0,"101,66"," R$  101,66 ","0,00%","0,00%","100,00%",PLO6,-690
04/05/2026,129823,pix129823,PIXPOKER,0,0,"152,49"," R$  152,49 ","0,00%","0,00%","100,00%",PLO6,"-569,87"
04/05/2026,135262,F3lp1s,PIXPOKER,"0,28",2,"72,73"," R$  75,01 ","0,37%","2,67%","96,96%",PLO6,165
04/05/2026,138160,Chicão 01,PIXPOKER,0,0,"244,23"," R$  244,23 ","0,00%","0,00%","100,00%",PLO6,"-934,53"
04/05/2026,145959,Adibe Jr 02,PIXPOKER,"22,63","3,2","1605,41"," R$  1.631,24 ","1,39%","0,20%","98,42%",PLO6,"570,35"
04/05/2026,147693,TC97,PIXPOKER,0,0,"9,97"," R$  9,97 ","0,00%","0,00%","100,00%",PLO6,-64
04/05/2026,165694,jr?,PIXPOKER,"96,1","81,4","515,95"," R$  693,45 ","13,86%","11,74%","74,40%",PLO6,434
04/05/2026,172253,bob Marley,PIXPOKER,0,0,"550,01"," R$  550,01 ","0,00%","0,00%","100,00%",PLO6,"-1013,69"
